Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-04-06,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Build to peak
Monday,2026-04-06,06:00,Strength,PUSH + CORE,45,"Push-ups, DB press, Core circuit",Moderate,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-04-07,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-04-07,06:00,Swim,Race Pace Focus,75,"WU 400m, Main 10x200m @ race pace, CD 400m",Zone 3-4,Paddles,Toast + honey,Full breakfast,Total: 2800m
Wednesday,2026-04-08,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-04-08,06:00,Run,Tempo Run,65,10km with 30min tempo,Zone 3,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-04-09,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-04-09,06:00,Bike,Sweet Spot + Hills,100,"WU 15min, 4x10min @ SS with hills, CD 15min",Zone 3-4,Tacx trainer,Toast + honey,Full breakfast,
Thursday,2026-04-09,After bike,Strength,PULL,30,"Dead hangs, Rows, Face pulls",Moderate,Bands dumbbells,N/A,Full breakfast,
Friday,2026-04-10,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-04-10,06:00,Strength,LEGS,40,"Squats, RDL, Lunges, Step-ups",Moderate,Dumbbells,Toast + honey,Full breakfast,
Saturday,2026-04-11,07:00,Bike,Long Ride + Climbs,140,Long with climbing,Zone 2-3,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-04-12,07:00,Run,Long Run + Strides,100,16km + strides,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 2.8 km
Bike: ~100 km
Run: 26 km
Strength: 3 sessions
Mobility: 6 sessions
Total Training: ~10.5 hours

WEEK FOCUS: Building towards peak progression volume.
