Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-01-19,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Build volume
Monday,2026-01-19,06:00,Strength,PUSH + CORE,45,"Push-ups, DB press, Core circuit",Moderate,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-01-20,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-01-20,06:00,Swim,Drill + Endurance,65,"WU 300m, Drills 8x50m, Main 8x200m, CD 200m",Zone 2,Paddles optional,Toast + honey,Full breakfast,Total: 2000m
Wednesday,2026-01-21,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-01-21,06:00,Run,Easy + Strides,55,8km easy + strides,Zone 2,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-01-22,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-01-22,06:00,Bike,ROUVY Climber Plan,85,Aerobic endurance,Zone 2-3,Tacx trainer,Toast + honey,Full breakfast,
Thursday,2026-01-22,After bike,Strength,PULL,30,"Dead hangs, Rows, Face pulls",Moderate,Bands dumbbells,N/A,Full breakfast,
Friday,2026-01-23,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-01-23,06:00,Strength,LEGS,40,"Squats, RDL, Lunges, Step-ups",Moderate,Dumbbells,Toast + honey,Full breakfast,
Saturday,2026-01-24,07:00,Bike,Long Endurance,95,Long ride,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-01-25,07:00,Run,Long Run,80,12km long run,Zone 1-2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 2.0 km
Bike: ~70 km
Run: 20 km
Strength: 3 sessions
Mobility: 6 sessions
Total Training: ~7.5 hours

WEEK FOCUS: Continue building volume.

