Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-06-22,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 26 - Peak rebuild
Monday,2026-06-22,06:00,Strength,PUSH + CORE,30,PUSH + CORE,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-06-23,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-06-23,06:00,Run,Vitkov Hill Repeats,55,Hill Repeats - Vítkov from Karlín,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-06-24,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-06-24,06:00,Run,10km with 5x1km intervals,60,10km with 5x1km intervals,Zone 4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-25,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-06-25,06:00,Bike,Threshold,100,Threshold 2x20min @ FTP,Zone 4,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-25,After bike,Strength,PULL,30,PULL,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-06-26,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-06-26,06:00,Strength,LEGS,30,LEGS,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-06-27,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-06-27,07:00,Bike,Race Simulation,120,Race simulation - flat fast,Zone 2-3,Tacx or road,Full breakfast 2h before,Recovery meal,Vitoria prep
Sunday,2026-06-28,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-06-28,07:00,Run,Long Trail Run,90,15km long trail run,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~92 km
Run: 33 km
Strength: 3 sessions
Mobility: 7 sessions
Total Training: ~10.1 hours

WEEK FOCUS: Peak rebuild week. Threshold work and race simulation for Vitoria.
