Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-07-20,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 30 - Rebuild
Monday,2026-07-20,06:00,Strength,Light Work,25,Light work,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-07-21,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-07-21,06:00,Run,Easy Run,45,7km easy,Zone 2,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-07-22,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-07-22,06:00,Run,Vitkov Hill Repeats,50,Hill Repeats - Vítkov from Karlín,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-23,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-07-23,06:00,Bike,Moderate Endurance,65,Moderate endurance,Zone 2,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-23,After bike,Strength,PULL,30,PULL,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-07-24,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-07-24,06:00,Strength,LEGS,25,LEGS,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-07-25,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-07-25,07:00,Bike,Endurance Ride,85,Endurance ride,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-07-26,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-07-26,07:00,Run,Easy Run,65,10km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~63 km
Run: 24 km
Strength: 3 sessions
Mobility: 7 sessions
Total Training: ~8.0 hours

WEEK FOCUS: Rebuild for Hradec. Gradual return to structured training.
