Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-05-11,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 20 - Taper continues
Monday,2026-05-11,06:00,Strength,Light Maintenance,25,Light maintenance,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-05-12,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-05-12,06:00,Run,Easy + Strides,40,6km easy + strides,Zone 2,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-05-13,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-05-13,-,Rest,Active Recovery,0,Active recovery,Recovery,N/A,Normal meals,Normal meals,
Thursday,2026-05-14,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-05-14,06:00,Bike,Easy + Openers,60,Easy + race power touches,Zone 2-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-05-15,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-05-15,-,Rest,Complete Rest,0,Complete rest,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-05-16,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-05-16,07:00,Bike,Easy Endurance,70,Easy endurance,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-05-17,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-05-17,07:00,Run,Easy Run,55,9km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~55 km
Run: 15 km
Strength: 1 sessions
Mobility: 7 sessions
Total Training: ~5.7 hours

WEEK FOCUS: Taper continues. Sharp and fresh for race week.
