Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-06-08,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 24 - REBUILD begins
Monday,2026-06-08,-,Rest,Complete Rest,0,Complete rest,Recovery,N/A,Normal meals,Normal meals,
Tuesday,2026-06-09,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-06-09,06:00,Run,Easy Run,40,6km easy,Zone 1-2,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-06-10,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-06-10,06:00,Run,Vitkov Hill Repeats,55,Hill Repeats - Vítkov from Karlín,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-11,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-06-11,06:00,Bike,Easy Endurance,70,Easy endurance,Zone 2,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-11,After bike,Strength,PULL,30,PULL,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-06-12,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-06-12,06:00,Strength,LEGS,25,LEGS light,Light,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-06-13,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-06-13,07:00,Bike,Moderate Endurance,95,Moderate endurance,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-06-14,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-06-14,07:00,Run,Easy Run,65,10km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~68 km
Run: 24 km
Strength: 2 sessions
Mobility: 7 sessions
Total Training: ~7.8 hours

WEEK FOCUS: Rebuild begins. Easy return to structured training after racing.
