Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-04-13,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 16 - PEAK PROGRESSION (no swim)
Monday,2026-04-13,06:00,Strength,PUSH + CORE,30,Bench Press 6-8 + DB Shoulder Press 12 + Incline Bench 6-8 + Skull Crushers 12 / Core,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-04-14,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-04-14,06:00,Run,Vitkov Hill Repeats,55,Hill Repeats - Vítkov from Karlín 6-8x výběh,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-04-15,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-04-15,06:00,Run,Race Pace Intervals,65,10km with 6x1km @ race pace,Zone 4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-04-16,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-04-16,06:00,Bike,Threshold Blocks,105,Threshold Blocks 2x25min @ FTP,Zone 4,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-04-16,After bike,Strength,PULL,30,Deadlift 6-8 + Barbell Row 8-10 + Lat Pulldown 8-10 + Face Pulls 12-15 + Curls 12,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-04-17,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-04-17,06:00,Strength,LEGS,30,Back Squat 6-8 + RDL 8-10 + Bulgarian Split Squat 10ea + Leg Press 10-12 + Calf Raises 15,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-04-18,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-04-18,07:00,Bike,Peak Long Ride,150,Peak long ride + nutrition practice,Zone 2-3,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-04-19,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-04-19,07:00,Run,Long Trail Run,105,17km long trail run with hills,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,Peak run volume

WEEKLY TOTALS:
Swim: 0 km
Bike: ~105 km
Run: 35 km
Strength: 3 sessions
Mobility: 7 sessions
Total Training: ~11.0 hours

WEEK FOCUS: Peak progression volume. No swim - focus on run hills and bike threshold.
