Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-03-09,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,PROGRESSION PHASE begins
Monday,2026-03-09,06:00,Strength,PUSH + CORE,45,"Push-ups, DB press, Core circuit",Moderate,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-03-10,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-03-10,06:00,Swim,Threshold Pyramid,70,"WU 400m, Pyramid 100-200-300-400-300-200-100 @ CSS, CD 300m",Zone 3-4,Paddles optional,Toast + honey,Full breakfast,Total: 2500m - Adding intensity
Wednesday,2026-03-11,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-03-11,06:00,Run,Tempo Run,60,9km with 25min tempo @ 5:00-5:15/km,Zone 3,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-03-12,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-03-12,06:00,Bike,Sweet Spot Intervals,90,"WU 15min, 3x12min @ 88-93% FTP, CD 10min",Zone 3-4,Tacx trainer,Toast + honey,Full breakfast,
Thursday,2026-03-12,After bike,Strength,PULL,30,"Dead hangs, Rows, Face pulls",Moderate,Bands dumbbells,N/A,Full breakfast,
Friday,2026-03-13,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-03-13,06:00,Strength,LEGS,40,"Squats, RDL, Lunges, Step-ups",Moderate,Dumbbells,Toast + honey,Full breakfast,
Saturday,2026-03-14,07:00,Bike,Long Endurance + Hills,120,Hill simulation,Zone 2-3,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-03-15,07:00,Run,Long Run,95,15km moderate,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 2.5 km
Bike: ~88 km
Run: 24 km
Strength: 3 sessions
Mobility: 6 sessions
Total Training: ~9.5 hours

WEEK FOCUS: PROGRESSION PHASE begins. Adding intensity to all disciplines.
